tweet_id,retweet_count,favorite_count
856288084350160898,15,488
856282028240666624,5551,25122
855862651834028034,21,301
855860136149123072,849,4387
855857698524602368,1852,10821
855851453814013952,16056,41763
855818117272018944,4789,24188
855459453768019968,7270,26987
855245323840757760,5234,0
855138241867124737,36,0
854732716440526848,5313,20595
854482394044301312,5990,26448
854365224396361728,4129,17121
854120357044912130,6563,29102
854010172552949760,2780,14782
853760880890318849,5097,25971
853639147608842240,8822,31396
853299958564483072,3154,14091
852936405516943360,1782,0
852912242202992640,1588,8213
852672615818899456,1898,13589
852553447878664193,3096,14823
852311364735569921,8825,30234
852226086759018497,6059,18289
852189679701164033,1412,10538
851591660324737024,3111,14896
851464819735769094,6280,22181
851224888060895234,5145,18950
850753642995093505,8039,28002
850380195714523136,2321,12018
850333567704068097,301,3181
850145622816686080,3376,14977
850019790995546112,4345,18691
849776966551130114,6785,27815
849668094696017920,4422,0
849412302885593088,2815,14610
849336543269576704,1680,10513
849051919805034497,7588,38851
848690551926992896,3909,23184
848324959059550208,4135,22734
848213670039564288,644,7516
848212111729840128,2707,14966
847978865427394560,2907,0
847971574464610304,394,0
847962785489326080,4549,21666
847842811428974592,1184,4988
847617282490613760,376,6445
847606175596138505,3069,17288
847251039262605312,3896,18881
847157206088847362,5233,18305
847116187444137987,2865,19806
846874817362120707,3535,18550
846514051647705089,10325,41009
846505985330044928,2749,13019
846153765933735936,8129,28965
846139713627017216,9129,28698
846042936437604353,2576,14747
845812042753855489,7831,26910
845677943972139009,4365,23353
845397057150107648,1614,7054
845306882940190720,4831,21522
845098359547420673,6908,0
844979544864018432,2304,12628
844973813909606400,2835,13877
844580511645339650,2800,15230
844223788422217728,1981,12647
843981021012017153,2691,14054
843856843873095681,4152,19880
843604394117681152,2471,15635
843235543001513987,5374,19885
842846295480000512,3304,14169
842765311967449089,1173,6274
842535590457499648,3160,16850
842163532590374912,5234,22643
842115215311396866,2746,12981
841833993020538882,13497,0
841680585030541313,7124,23952
841439858740625411,3297,11679
841320156043304961,5004,18348
841314665196081154,4215,14687
841077006473256960,4871,21265
840761248237133825,1615,0
840728873075638272,14536,0
840698636975636481,2,163
840696689258311684,888,11431
840632337062862849,1615,8390
840370681858686976,4166,15289
840268004936019968,5193,17822
839990271299457024,2060,12496
839549326359670784,7029,25475
839290600511926273,132,0
839239871831150596,5903,25134
838952994649550848,3650,18296
838921590096166913,1850,10379
838916489579200512,31,0
838831947270979586,9978,0
838561493054533637,1229,10205
838476387338051585,4324,20885
838201503651401729,9134,0
838150277551247360,300,1563
838085839343206401,1,134
838083903487373313,2827,16403
837820167694528512,7125,31716
837482249356513284,403,3588
837471256429613056,2056,11946
837110210464448512,2172,15026
836989968035819520,2104,11899
836753516572119041,4243,18050
836677758902222849,2015,11802
836648853927522308,505,0
836397794269200385,24946,0
836380477523124226,2739,13866
836260088725786625,3964,19873
836001077879255040,3870,17819
835685285446955009,7383,0
835574547218894849,3283,16579
835536468978302976,1536,0
835309094223372289,19063,0
835297930240217089,2733,15382
835264098648616962,1536,7188
835246439529840640,63,1983
835172783151792128,5278,24485
835152434251116546,2749,20874
